series_title,series_season_num,series_episode_num,season_episode_num,episode_title,episode_director,episode_writers,episode_release_date,episode_prod_code,episode_us_viewers_mm
Star Wars: The Clone Wars,2,25,3,Children of the Force,Brian Kalin O'Connell,"Henry Gilroy, Wendy Meracle","October 9, 2009",2.03,2.8
Star Wars: The Clone Wars,2,26,4,Senate Spy,Steward Lee,Melinda Hsu,"October 16, 2009",2.05,
Star Wars: The Clone Wars,2,27,5,Landing at Point Rain,Brian Kalin O'Connell,Brian Larsen,"November 6, 2009",2.07,
Star Wars: The Clone Wars,2,28,6,Weapons Factory,Giancarlo Volpe,Brian Larsen,"November 13, 2009",2.08,
Star Wars: The Clone Wars,2,29,7,Legacy of Terror,Steward Lee,Eoghan Mahony,"November 20, 2009",2.09,
Star Wars: The Clone Wars,2,30,8,Brain Invaders,Steward Lee,Andrew Kreisberg,"December 4, 2009",2.12,
Star Wars: The Clone Wars,2,31,9,Grievous Intrigue,Giancarlo Volpe,Ben Edlund,"January 1, 2010",2.14,
Star Wars: The Clone Wars,2,32,10,The Deserter,Robert Dalva,Carl Ellsworth,"January 1, 2010",2.06,
Star Wars: The Clone Wars,2,33,11,Lightsaber Lost,Giancarlo Volpe,Drew Z. Greenberg,"January 22, 2010",2.11,
Star Wars: The Clone Wars,2,34,12,The Mandalore Plot,Kyle Dunlevy,Melinda Hsu,"January 29, 2010",2.13,
Star Wars: The Clone Wars,2,35,13,Voyage of Temptation,Brian Kalin O'Connell,Paul Dini,"February 5, 2010",1.21,
Star Wars: The Clone Wars,2,36,14,Duchess of Mandalore,Brian Kalin O'Connell,Drew Z. Greenberg,"February 12, 2010",2.16,
Star Wars: The Clone Wars,2,37,15,Senate Murders,Brian Kalin O'Connell,Drew Z. Greenberg,"March 12, 2010",2.10,
Star Wars: The Clone Wars,2,38,16,Cat and Mouse,Kyle Dunlevy,Brian Larsen,"March 20, 2010",2.17,2.02
Star Wars: The Clone Wars,2,39,17,Bounty Hunters,Steward Lee,Carl Ellsworth,"March 27, 2010",2.19,
Star Wars: The Clone Wars,2,40,18,The Zillo Beast,Giancarlo Volpe,Craig Titley,"April 3, 2010",2.22,
Star Wars: The Clone Wars,2,41,19,The Zillo Beast Strikes Back,Steward Lee,Steven Melching,"April 10, 2010",2.23,
Star Wars: The Clone Wars,2,42,20,Death Trap,Steward Lee,Doug Petrie,"April 17, 2010",2.15,2.85
Star Wars: The Clone Wars,2,43,21,R2 Come Home,Giancarlo Volpe,Eoghan Mahony,"April 24, 2010",2.18,2.76
Star Wars: The Clone Wars,2,44,22,Lethal Trackdown,Dave Filoni,"Dave Filoni, Drew Z. Greenberg","April 30, 2010",2.20,2.76
Star Wars: The Clone Wars,2,45,23,Test Record,Anthony Whyte,"Anthony Whyte, Chris Teplovs","May 7, 2010",2.22,4.92
