unique_number,id_no,category,name_en,short_description_en,justification_en,date_inscribed,endangered,longitude,latitude,area_hectares,region_en,states_name_en,undp_code
160,145,Natural,Los Glaciares National Park,"<p>The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into the milky grey glacial water, launching massive igloo icebergs into the lake with thunderous splashes.</p>",,1981,0,-73.24944,-50,726927,Latin America and the Caribbean,Argentina,arg
340,303,Natural,Iguazu National Park,"<p>The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of the most spectacular waterfalls in the world. The surrounding subtropical rainforest has over 2,000 species of vascular plants and is home to the typical wildlife of the region: tapirs, giant anteaters, howler monkeys, ocelots, jaguars and caymans.</p>",,1984,0,-54.286073,-25.577357,55000,Latin America and the Caribbean,Argentina,arg
1091,936,Cultural,"Cueva de las Manos, Río Pinturas","<p>The Cueva de las Manos, R&iacute;o Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also many depictions of animals, such as guanacos (<em>Lama guanicoe</em> ), still commonly found in the region, as well as hunting scenes. The people responsible for the paintings may have been the ancestors of the historic hunter-gatherer communities of Patagonia found by European settlers in the 19th century.</p>",<p><em>Criterion (iii):</em> The Cueva de las Manos contains an outstanding collection of prehistoric rock art which bears witness to the culture of the earliest human societies in South America.</p>,1999,0,-70.66666667,-47.15,600,Latin America and the Caribbean,Argentina,arg
1092,937,Natural,Península Valdés,<p>Península Valdés in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elephant seals and southern sea lions. The orcas in this area have developed a unique hunting strategy to adapt to local coastal conditions.</p>,"<p><em>Criterion (x):</em> Peninsula Valdés contains very important and significant natural habitats for the in-situ conservation of several threatened species of outstanding universal value, and specifically its globally important concentration of breeding southern right whales, which is an endangered species. It is also important because of the breeding populations of southern elephant seals and southern sea lions. The area exhibits an exceptional example of adaptation of hunting techniques by the orca to the local coastal conditions.</p>",1999,0,-64,-42.5,360000,Latin America and the Caribbean,Argentina,arg
1130,966,Natural,Ischigualasto / Talampaya Natural Parks,"<p>These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ago). Six geological formations in the parks contain fossils of a wide range of ancestors of mammals, dinosaurs and plants revealing the evolution of vertebrates and the nature of palaeo-environments in the Triassic Period.</p>",<p><em>Criterion (viii):</em> The site contains a complete sequence of fossiliferous continental sediments representing the entire Triassic Period (45 million years) of geological history. No other place in the world has a fossil record comparable to that of Ischigualasto-Talampaya which reveals the evolution of vertebrate life and the nature of palaeoenvironments in the Triassic Period.</p>,2000,0,-68,-30,275369,Latin America and the Caribbean,Argentina,arg
1159,995,Cultural,Jesuit Block and Estancias of Córdoba,"<p>The Jesuit Block in C&oacute;rdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or farming estates, they contain religious and secular buildings, which illustrate the unique religious, social, and economic experiment carried out in the world for a period of over 150 years in the 17th and 18th centuries.</p>","<p><em>Criterion (ii):</em> The Jesuit buildings and ensembles of C&oacute;rdoba and the estancias are exceptional examples of the fusion of European and indigenous values and cultures during a seminal period in South America.</p>
<p><em>Criterion (iv):</em> The religious, social, and economic experiment carried out in South America for over 150 years by the Society of Jesus produced a unique form of material expression, which is illustrated by the Jesuit buildings and ensembles of C&oacute;rdoba and the estancias.</p>",2000,0,-64.19111,-31.42056,38.12,Latin America and the Caribbean,Argentina,arg
1295,1116,Cultural,Quebrada de Humahuaca,"<p>Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 km to the south. The valley shows substantial evidence of its use as a major trade route over the past 10,000 years. It features visible traces of prehistoric hunter-gatherer communities, of the Inca Empire (15th to 16th centuries) and of the fight for independence in the 19th and 20th centuries.</p>","<p><em>Criterion (ii):</em> The Quebrada de Humahuaca valley has been used over the past 10,000 years as a crucial passage for the transport of people and ideas from the high Andean lands to the plains.</p>
<p><em>Criteria (iv) and (v):</em> The Quebrada de Humahuaca valley reflects the way its strategic position has engendered settlement, agriculture and trade. Its distinctive pre-Hispanic and pre-Incan settlements, as a group with their associated field systems, form a dramatic addition to the landscape and one that can certainly be called outstanding.</p>",2003,0,-65.34886111,-23.19986111,172116.4375,Latin America and the Caribbean,Argentina,arg
2172,1526,Natural,Los Alerces National Park,"<p>The Los Alerces National Park is located in the Andes of northern Patagonia and its western boundary  coincides with the Chilean border. Successive glaciations have moulded the landscape in the region creating spectacular features such as moraines, glacial cirques and clear-water lakes. The vegetation is dominated by dense temperate forests, which give way to alpine meadows higher up under the rocky Andean peaks. A highly distinctive and emblematic feature is its alerce forest; the globally threatened Alerce tree is the second longest living tree species in the world (&gt;3,600 years). The Alerce forest in the property is in an excellent state of conservation. The property is vital for the protection of some of the last portions of continuous Patagonian Forest in an almost pristine state and is the habitat for a number of endemic and threatened species of flora and fauna.</p>",,2017,0,-71.8728,-42.8528,188379,Latin America and the Caribbean,Argentina,arg
920,777,Cultural,Monasteries of Haghpat and Sanahin,"<p>These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two monastic complexes represent the highest flowering of Armenian religious architecture, whose unique style developed from a blending of elements of Byzantine ecclesiastical architecture and the traditional vernacular architecture of the Caucasian region.</p>",<p>The Committee decided to inscribe the Monastery of Haghpat on the basis of cultural <em>criteria (ii) and (iv)</em> considering that it is of outstanding universal value and an exceptional example of ecclesiastical architecture that developed in Armenia in the 10th to 13th centuries which is unique by virtue of its blending of elements of both Byzantine church architecture and the traditional vernacular building style of this region.</p>,1996,0,44.71028,41.095,2.65,Europe and North America,Armenia,arm
1124,960,Cultural,Monastery of Geghard and the Upper Azat Valley,"<p>The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surrounded by towering cliffs at the entrance to the Azat Valley.</p>","<p><em>Criterion (ii):</em> The monastery of Geghard, with its remarkable rock-cut churches and tombs, is an exceptionally well preserved and complete example of medieval Armenian monastic architecture and decorative art, with many innovatory features which had a profound influence on subsequent developments in the region.</p>",2000,0,44.79667,40.15889,2.7,Europe and North America,Armenia,arm
1181,1011,Cultural,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,"<p>The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and artistic development in the region.</p>","<p><em>Criterion (ii):</em> The developments in ecclesiastical architecture represented in an outstanding manner by the churches at Echmiatsin and the archaeological site of Zvartnots had a profound influence on church design over a wide region.</p>
<p><em>Criterion (iii):</em> The churches at Echmiatsin and the archaeological site of Zvartnots vividly depict both the spirituality and the innovatory artistic achievement of the Armenian Church from its foundation.</p>",2000,0,44.29514,40.15931,74.3,Europe and North America,Armenia,arm
1872,147,Mixed,Kakadu National Park,"<p>This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the region&rsquo;s inhabitants, from the hunter-gatherers of prehistoric times to the Aboriginal people still living there. It is a unique example of a complex of ecosystems, including tidal flats, floodplains, lowlands and plateaux, and provides a habitat for a wide range of rare or endemic species of plants and animals.</p>",,1981,0,132.8333333,-12.83333333,1980994.92,Asia and the Pacific,Australia,aus
172,154,Natural,Great Barrier Reef,"<p>The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also holds great scientific interest as the habitat of species such as the dugong (‘sea cow’) and the large green turtle, which are threatened with extinction.</p>",,1981,0,147.7,-18.28611111,34870000,Asia and the Pacific,Australia,aus
1457,166,Cultural,Sydney Opera House,"<p>Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarkable waterscape, at the tip of a peninsula projecting into Sydney Harbour, the building has had an enduring influence on architecture. The Sydney Opera House comprises three groups of interlocking vaulted &lsquo;shells&rsquo; which roof two main performance halls and a restaurant. These shell-structures are set upon a vast platform and are surrounded by terrace areas that function as pedestrian concourses. In 1957, when the project of the Sydney Opera House was awarded by an international jury to Danish architect J&oslash;rn Utzon, it marked a radically new approach to construction.</p>",,2007,0,151.2152777777,-33.8566666667,5.8,Asia and the Pacific,Australia,aus
185,167,Mixed,Willandra Lakes Region,"<p>The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45–60,000 years ago. It is a unique landmark in the study of human evolution on the Australian continent. Several well-preserved fossils of giant marsupials have also been found here.</p>",,1981,0,143,-34,240000,Asia and the Pacific,Australia,aus
1950,181,Mixed,Tasmanian Wilderness,"<p>In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone caves attest to the human occupation of the area for more than 20,000 years.</p>",,1982,0,145.4166667,-41.58333333,1584233,Asia and the Pacific,Australia,aus
206,186,Natural,Lord Howe Island Group,"<p>A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.</p>",,1982,0,159.0883333,-31.56555556,146300,Asia and the Pacific,Australia,aus
422,368,Natural,Gondwana Rainforests of Australia,"<p>This site, comprising several protected areas, is situated predominantly along the Great Escarpment on Australia&rsquo;s east coast. The outstanding geological features displayed around shield volcanic craters and the high number of rare and threatened rainforest species are of international significance for science and conservation.</p>",,1986,0,150.05,-28.25,370000,Asia and the Pacific,Australia,aus
519,447,Mixed,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,"<p>This park, formerly called Uluru (Ayers Rock – Mount Olga) National Park, features spectacular geological formations that dominate the vast red sandy plain of central Australia. Uluru, an immense monolith, and Kata Tjuta, the rock domes located west of Uluru, form part of the traditional belief system of one of the oldest human societies in the world. The traditional owners of Uluru-Kata Tjuta are the Anangu Aboriginal people.</p>",,1987,0,131,-25.33333333,132566,Asia and the Pacific,Australia,aus
565,486,Natural,Wet Tropics of Queensland,"<p>This area, which stretches along the north-east coast of Australia for some 450 km, is made up largely of tropical rainforests. This biotope offers a particularly extensive and varied array of plants, as well as marsupials and singing birds, along with other rare and endangered animals and plant species.</p>",,1988,0,144.9666667,-15.65,893453,Asia and the Pacific,Australia,aus
683,577,Natural,Heard and McDonald Islands,"<p>Heard Island and McDonald Islands are located in the Southern Ocean, approximately 1,700 km from the Antarctic continent and 4,100 km south-west of Perth. As the only volcanically active subantarctic islands they &lsquo;open a window into the earth&rsquo;, thus providing the opportunity to observe ongoing geomorphic processes and glacial dynamics. The distinctive conservation value of Heard and McDonald &ndash; one of the world&rsquo;s rare pristine island ecosystems &ndash; lies in the complete absence of alien plants and animals, as well as human impact.</p>","<p>The Committee inscribed this property under <em>criteria (viii) </em>and <em>(ix)</em>. It noted that this site is the only volcanically active sub-Antarctic island and illustrates ongoing geomorphic processes and glacial dynamics in the coastal and submarine environment and sub-Antarctic flora and fauna, with no record of alien species. The Committee repeated its request by the sixteenth session for further documentation on the marine resources of the site.</p>",1997,0,73.5,-53.1,658903,Asia and the Pacific,Australia,aus
684,578,Natural,"Shark Bay, Western Australia","<p>At the most westerly point of the Australian continent, Shark Bay, with its islands and the land surrounding it, has three exceptional natural features: its vast sea-grass beds, which are the largest (4,800 km2) and richest in the world; its dugong (&lsquo;sea cow&rsquo;) population; and its stromatolites (colonies of algae which form hard, dome-shaped deposits and are among the oldest forms of life on earth). Shark Bay is also home to five species of endangered mammals.</p>",,1991,0,113.4361111,-25.48611111,2200902,Asia and the Pacific,Australia,aus
747,629,Natural,Macquarie Island,"<p>Macquarie Island (34 km long x 5 km wide) is an oceanic island in the Southern Ocean, lying 1,500 km south-east of Tasmania and approximately halfway between Australia and the Antarctic continent. The island is the exposed crest of the undersea Macquarie Ridge, raised to its present position where the Indo-Australian tectonic plate meets the Pacific plate. It is a site of major geoconservation significance, being the only place on earth where rocks from the earth’s mantle (6 km below the ocean floor) are being actively exposed above sea-level. These unique exposures include excellent examples of pillow basalts and other extrusive rocks.</p>","<p>The Committee decided that the site provides an unique example of exposure of the ocean crust above the sea level and of geological evidence for sea-floor spreading, and is an exposure of the oceanic plate boundary between the Pacific and Australian/Indian plates, exposed with active faults and ongoing tectonic movements.</p>",1997,0,158.8955556,-54.59472222,557280,Asia and the Pacific,Australia,aus
748,630,Natural,Fraser Island,"<p>Fraser Island lies just off the east coast of Australia. At 122 km long, it is the largest sand island in the world. Majestic remnants of tall rainforest growing on sand and half the world’s perched freshwater dune lakes are found inland from the beach. The combination of shifting sand-dunes, tropical rainforests and lakes makes it an exceptional site.</p>",,1992,0,153.1333333,-25.21666667,181851,Asia and the Pacific,Australia,aus
826,698,Natural,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),"<p>Riversleigh and Naracoorte, situated in the north and south respectively of eastern Australia, are among the world’s 10 greatest fossil sites. They are a superb illustration of the key stages of evolution of Australia’s unique fauna.</p>",,1994,0,138.7166667,-19.08333333,10326,Asia and the Pacific,Australia,aus
1071,917,Natural,Greater Blue Mountains Area,"<p>The Greater Blue Mountains Area consists of 1.03 million ha of sandstone plateaux, escarpments and gorges dominated by temperate eucalypt forest. The site, comprised of eight protected areas, is noted for its representation of the evolutionary adaptation and diversification of the eucalypts in post-Gondwana isolation on the Australian continent. Ninety-one eucalypt taxa occur within the Greater Blue Mountains Area which is also outstanding for its exceptional expression of the structural and ecological diversity of the eucalypts associated with its wide range of habitats. The site provides significant representation of Australia's biodiversity with ten percent of the vascular flora as well as significant numbers of rare or threatened species, including endemic and evolutionary relict species, such as the Wollemi pine, which have persisted in highly-restricted microsites.</p>","<p><em>Criteria (ix) and (x):</em> Australia’s eucalypt vegetation is worthy of recognition as of outstanding universal value, because of its adaptability and evolution in post-Gondwana isolation. The site contains a wide and balanced representation of eucalypt habitats from wet and dry sclerophyll, mallee heathlands, as well as localised swamps, wetlands, and grassland. 90 eucalypt taxa (13% of the global total) and representation of all four groups of eucalypts occur. There is also a high level of endemism with 114 endemic taxa found in the area as well as 120 nationally rare and threatened plant taxa. The site hosts several evolutionary relic species (Wollemia, Microstrobos, Acrophyllum) which have persisted in highly restricted microsites.</p>",2000,0,150,-33.7,1032649,Asia and the Pacific,Australia,aus
1272,1094,Natural,Purnululu National Park,"<p>The 239,723 ha Purnululu National Park is located in the State of Western Australia. It contains the deeply dissected Bungle Bungle Range composed of Devonian-age quartz sandstone eroded over a period of 20 million years into a series of beehive-shaped towers or cones, whose steeply sloping surfaces are distinctly marked by regular horizontal bands of dark-grey cyanobacterial crust (single-celled photosynthetic organisms). These outstanding examples of cone karst owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena.</p>","<p><em>Criterion (viii):</em> Earth’s history and geological features The claim to outstanding universal geological value is made for the Bungle Bungle Range. The Bungle Bungles are, by far, the most outstanding example of cone karst in sandstones anywhere in the world and owe their existence and uniqueness to several interacting geological, biological, erosional and climatic phenomena. The sandstone karst of PNP is of great scientific importance in demonstrating so clearly the process of cone karst formation on sandstone - a phenomenon recognised by geomorphologists only over the past 25 years and still incompletely understood, despite recently renewed interest and research. The Bungle Bungle Ranges of PNP also display to an exceptional degree evidence of geomorphic processes of dissolution, weathering and erosion in the evolution of landforms under a savannah climatic regime within an ancient, stable sedimentary landscape. IUCN considers that the nominated site meets this criterion.</p>
<p><em>Criterion (vii):</em> Superlative natural phenomena or natural beauty and aesthetic importance Although PNP has been widely known in Australia only during the past 20 years and it remains relatively inaccessible, it has become recognised internationally for its exceptional natural beauty. The prime scenic attraction is the extraordinary array of banded, beehive-shaped cone towers comprising the Bungle Bungle Range. These have become emblematic of the park and are internationally renowned among Australia’s natural attractions. The dramatically sculptured structures, unrivalled in their scale, extent, grandeur and diversity of forms anywhere in the world, undergo remarkable seasonal variation in appearance, including striking colour transition following rain. The intricate maze of towers is accentuated by sinuous, narrow, sheer-sided gorges lined with majestic Livistona fan palms. These and the soaring cliffs up to 250 m high are cut by seasonal waterfalls and pools, creating the major tourist attractions in the park, with evocative names such as Echidna Chasm, and Frog Hole, Piccaninny and Cathedral Gorges. The diversity of landforms and ecosystems elsewhere in the park are representative of the larger region, and lack a unique aesthetic quality, but provide a sympathetic visual buffer for the massif. The powerful aesthetic experience of the Bungle Bungles has aroused huge interest among the public, and the ranges figure prominently in national and international advertising of Australia’s tourist attractions, matching the prominence of the Uluru-Kata Tjuta National Park. Photographers and travel writers include the Bungle Bungles among the world’s natural wonders, some describing them as Australia’s equivalent of the Grand Canyon.</p>",2003,0,128.5,-17.5,239723,Asia and the Pacific,Australia,aus
1730,1131,Cultural,Royal Exhibition Building and Carlton Gardens,"<p>The Royal Exhibition Building and its surrounding Carlton Gardens were designed for the great international exhibitions of 1880 and 1888 in Melbourne. The building and grounds were designed by Joseph Reed. The building is constructed of brick and timber, steel and slate. It combines elements from the Byzantine, Romanesque, Lombardic and Italian Renaissance styles. The property is typical of the international exhibition movement which saw over 50 exhibitions staged between 1851 and 1915 in venues including Paris, New York, Vienna, Calcutta, Kingston (Jamaica) and Santiago (Chile). All shared a common theme and aims: to chart material and moral progress through displays of industry from all nations.</p>","<p><em>Criterion (ii):</em> The Royal Exhibition Building and the surrounding Carlton Gardens, as the main extant survivors of a Palace of Industry and its setting, together reflect the global influence of the international exhibition movement of the 19th and early 20th centuries. The movement showcased technological innovation and change, which helped promote a rapid increase in industrialisation and international trade through the exchange of knowledge and ideas.</p>",2004,0,144.9702778,-37.80611111,26,Asia and the Pacific,Australia,aus
1648,1306,Cultural,Australian Convict Sites,"<p>The property includes a selection of eleven penal sites, among the thousands established by the British Empire on Australian soil in the 18<sup>th</sup> and 19<sup>th</sup> centuries. The sites are spread across Australia, from Fremantle in Western Australia to Kingston and Arthur's Vale on Norfolk Island in the east; and from areas around Sydney in New South Wales in the north, to sites located in Tasmania in the south. Around 166,000 men, women and children were sent to Australia over 80 years between 1787 and 1868, condemned by British justice to transportation to the convict colonies. Each of the sites had a specific purpose, in terms both of punitive imprisonment and of rehabilitation through forced labour to help build the colony. The Australian Convict Sites presents the best surviving examples of large-scale convict transportation and the colonial expansion of European powers through the presence and labour of convicts.</p>",,2010,0,150.9944444444,-33.3783333333,1502.51,Asia and the Pacific,Australia,aus
1763,1369,Natural,Ningaloo Coast,"<p>The 604,500 hectare marine and terrestrial property of Ningaloo Coast, on the remote western coast of Australia, includes one of the longest near-shore reefs in the world. On land the site features an extensive karst system and network of underground caves and water courses. Annual gatherings of whale sharks occur at Ningaloo Coast, which is home to numerous marine species, among them a wealth of sea turtles. The terrestrial part of the site features subterranean water bodies with a substantial network of caves, conduits, and groundwater streams. They support a variety of rare species that contribute to the exceptional biodiversity of the marine and terrestrial site</p>",,2011,0,113.8102777778,-22.5625,705015,Asia and the Pacific,Australia,aus
