id,uid,pid,total_price
272,1000048,P00277442,11396
273,1000048,P00183242,5180
274,1000048,P00030842,15549
275,1000048,P00220142,11935
276,1000048,P00130442,8091
277,1000048,P00323042,7001
278,1000048,P00344742,1747
279,1000048,P00182442,5252
280,1000048,P00015342,6407
281,1000048,P00113242,15466
282,1000048,P00288042,7781
283,1000048,P00103042,15849
284,1000048,P00187842,11430
285,1000048,P00162442,11404
286,1000048,P00078542,11853
287,1000048,P0094142,1446
288,1000048,P00324442,3101
289,1000048,P00041642,3694
290,1000048,P00050542,3696
291,1000048,P00006442,3580
292,1000049,P00051442,9879
293,1000049,P00350942,10783
294,1000049,P00000142,13353
295,1000049,P00127242,15715
296,1000049,P00034042,11463
297,1000049,P00143142,7763
298,1000050,P00317942,5878
299,1000050,P00335542,5845
