headline_main,byline,web_url,pub_date
"Dinosaurs Started Out Hot, Then Some of Them Turned Cold",By Asher Elbein,https://www.nytimes.com/2022/05/28/science/dinosars-warm-cold-blood.html,2022-05-28T09:00:18+0000
Tooth of an Ancient Girl Fills Gap in Human Family Tree,By Carl Zimmer,https://www.nytimes.com/2022/05/17/science/science-discovery-family-tree.html,2022-05-17T15:00:11+0000
We’ve Been Drawing These Saber-Tooth Cats All Wrong,By Anthony Ham,https://www.nytimes.com/2022/05/07/science/saber-tooth-cats-teeth.html,2022-05-07T09:00:17+0000
"Before There Were Birds or Bees, This Is How Trilobites Made Babies",By Jack Tamisiea,https://www.nytimes.com/2022/05/06/science/trilobites-sex-claspers.html,2022-05-06T16:00:09+0000
The ‘Ultimate Bird’ Once Prowled the Seas of a Young Japan,By Asher Elbein,https://www.nytimes.com/2022/04/29/science/swan-fossil-japan.html,2022-04-29T14:16:22+0000
Shards of Asteroid That Killed the Dinosaurs May Have Been Found in Fossil Site,By Kenneth Chang,https://www.nytimes.com/2022/04/07/science/asteroid-killed-dinosaurs-fossil-site.html,2022-04-07T21:29:16+0000
"‘Big John,’ a High-Profile Triceratops, Locked Horns With Its Own Kind, Study Suggests",By Jack Tamisiea,https://www.nytimes.com/2022/04/07/science/big-john-triceratops.html,2022-04-07T15:00:11+0000
Dimwitted Mammals Needed Muscle More Than Brains After Dinosaurs Died,By Jack Tamisiea,https://www.nytimes.com/2022/03/31/science/brains-mammals-fossils.html,2022-03-31T18:00:14+0000
Fossil Holds Clues to How Some Owls Evolved Into Daytime Hunters,By Veronique Greenwood,https://www.nytimes.com/2022/03/31/science/owl-daytime-fossil.html,2022-03-31T09:00:19+0000
Trilobite Fossils Suggest Cannibalism Is More Ancient Than Once Thought,By Rebecca Dzombak,https://www.nytimes.com/2022/03/25/science/cannibal-trilobites.html,2022-03-25T09:00:24+0000
Fossil of Vampire Squid’s Oldest Ancestor Is Named for Biden,By Sabrina Imbler,https://www.nytimes.com/2022/03/08/science/vampire-squid-biden.html,2022-03-08T16:00:14+0000
Does This Amazon Rock Art Depict Extinct Ice Age Mammals?,By Becky Ferreira,https://www.nytimes.com/2022/03/06/science/ice-age-rock-art.html,2022-03-07T00:01:09+0000
Fossil Reveals Secrets of One of Nature’s Most Mysterious Reptiles,By Jack Tamisiea,https://www.nytimes.com/2022/03/06/science/tuatara-fossil-reptile.html,2022-03-06T10:00:12+0000
They Want to Break T. Rex Into 3 Species. Other Paleontologists Aren’t Pleased.,By Asher Elbein,https://www.nytimes.com/2022/02/28/science/tyrannosaurus-rex-species.html,2022-03-01T01:00:10+0000
Act of ‘Heresy’ Adds Horseshoe Crabs to Arachnid Family Tree,By Veronique Greenwood,https://www.nytimes.com/2022/02/18/science/horseshoe-crabs-arachnids.html,2022-02-18T16:09:36+0000
Neanderthals and Modern Humans Agreed About One Thing: This Cave,By Sabrina Imbler,https://www.nytimes.com/2022/02/09/science/neanderthals-cave-france.html,2022-02-09T22:59:55+0000
One of Evolution’s Oddest Creatures Finds a Fossilized Family Member,By Jack Tamisiea,https://www.nytimes.com/2022/02/08/science/opabinia-fossil.html,2022-02-09T00:01:07+0000
This Ancient Crab Had Unusually Huge Eyes,By Asher Elbein,https://www.nytimes.com/2022/01/23/science/crab-eyes-fossil.html,2022-01-23T13:58:43+0000
Fossils of a Prehistoric Rainforest Hide in Australia’s Rusted Rocks,By Jack Tamisiea,https://www.nytimes.com/2022/01/07/science/fossils-australia-rainforest.html,2022-01-07T19:00:16+0000
This Sea Lizard Had a Grand Piano-Size Head and a Big Appetite,By Sabrina Imbler,https://www.nytimes.com/2021/12/23/science/ichthyosaurs-whale-dinosaur-evolution.html,2021-12-23T19:00:12+0000
Unraveling How an Extinct Mollusk Got Its Strange Shell,By Sabrina Imbler,https://www.nytimes.com/2021/12/10/science/mollusk-shells-mathematics.html,2021-12-10T16:48:18+0000
